tweets,timestamps
"Today is the last day at IGN for our beloved Director of Content Strategy and Partnerships, @Terri_Schwartz.

To send her off in style, we've compiled some highlights of Terri's 5+ years of service. We will miss you, Terri!!! (THREAD!) https://t.co/hbs6FMGMkx",2021-04-12 19:42:17
"Cyborg actor Ray Fisher claims ""gaslighting occurred"" during Joss Whedon's Justice League reshoots. https://t.co/TC52XoqnJY https://t.co/drMrBTVXUW",2021-04-12 19:31:01
"Black Panther 2 won't feature a CGI version of Chadwick Boseman, according to Marvel producer Nate Moore. https://t.co/Tnn1ZeqDOx",2021-04-12 19:01:03
Star Wars Battlefront 2 actress Janina Gavankar has been cast in the Borderlands movie as new character Commander Knoxx. https://t.co/6TuLhh33si https://t.co/91ZXB7JGfO,2021-04-12 18:31:02
"The Falcon and the Winter Soldier enters its final half with a dark and serious Episode 4, ending with a particularly grim and potent final image.

Our review: https://t.co/0Gy6KQYIur https://t.co/7P9s9NzXib",2021-04-12 18:01:44
"Lucy Liu has been cast in Shazam 2 as Kalypso, pairing up with Helen Mirren as a villainous pair of godly sisters. https://t.co/gEHrAu6YHI https://t.co/N9SIvvvATF",2021-04-12 17:46:19
The Falcon and the Winter Soldier: What happens to the new Captain America from here? https://t.co/H4PxKcNk96 https://t.co/RIINrt58dq,2021-04-12 17:31:02
"A live-action Gundam movie is coming to Netflix, with Kong: Skull Island director Jordan Vogt-Roberts helming the project. https://t.co/DuHvPE7s8p https://t.co/BAp1bLEv4h",2021-04-12 17:03:46
"Days Gone game director Jeff Ross revealed that when Sony Bend pitched its sequel idea to PlayStation, it involved ""a shared universe with co-op play."" https://t.co/4naMI9r2VP https://t.co/1RIknXyF61",2021-04-12 17:01:13
Players are reporting that some PlayStation 3 games aren't updating correctly ahead of the forthcoming store closure. https://t.co/IXeETLGIQ3 https://t.co/zDIFz1Ts9W,2021-04-12 16:31:03
https://t.co/zkSAtwiQwg,2021-04-12 16:07:07
"More than 50 years after it ended its brief ( influential) run, The Prisoner is finally getting some licensed action figures courtesy of Wandering Planet Toys. https://t.co/14eQ4USMyD https://t.co/8brJQkfqY7",2021-04-12 16:01:36
"The 2021 BAFTA Film Awards winners have been announced, with Nomadland taking top honors. https://t.co/pYoDzjCugl https://t.co/83cZSxfZYp",2021-04-12 15:32:59
Days Gone 2 was pitched to Sony as a shared universe game with co-op. https://t.co/4naMI9r2VP https://t.co/dt4qhuDWxz,2021-04-12 15:01:07
"Tom Hiddleston says that Loki's ""shapeshifting logo"" teases what the show is truly about. https://t.co/s96RP7mU7A https://t.co/3VRkPPXDmX",2021-04-12 14:31:01
"A Sonic Colors remaster is seemingly in the works, after a German voiceover studio listed their involvement on the project. https://t.co/uFO6lL9pa7 https://t.co/Xx1Pb2saN2",2021-04-12 14:01:03
NASA's Mars Ingenuity helicopter won't fly until April 14 due to an issue during its pre-flight process. https://t.co/tMObCYdBK6 https://t.co/wDZAL7lF1K,2021-04-12 13:31:01
"IGN can exclusively reveal The Art of Overwatch Vol. 2 Deluxe Edition, a lavish and pricey new collection for hardcore Overwatch fans. https://t.co/wWzRb6Vuxm https://t.co/yRoP9q5Qdk",2021-04-12 13:02:02
The Nintendo Switch could face supply issues in 2021 due to the global semiconductor shortages. https://t.co/R1Os9frDLQ https://t.co/dDvUQvy1MR,2021-04-12 12:35:06
"With the PS5 and Xbox Series X/S launches still fresh in our minds, here are some of the most heartwarming new console stories from gamers. https://t.co/BCSYVU1mB1 https://t.co/wZdMlaSPEu",2021-04-12 10:00:08
"From Wanda Maximoff to Captain America, we rank the 25 best heroes in the MCU: https://t.co/L4rr0Jhqcs https://t.co/xLzYNYfpON",2021-04-12 09:00:10
"MPLS Sound explores the musical legacy of Prince through the magic of comics, and IGN has an exclusive preview. Let's Go Crazy:  https://t.co/8Xa2ytBrm0 https://t.co/joY1i2vxCU",2021-04-12 08:00:09
"Hasbro revealed three new Transformers: War For Cybertron figures: Galvatron, the Autobot Ark, and Scorponk. https://t.co/TLaKa1D2ug https://t.co/6mX86I5kdm",2021-04-12 07:00:13
"The Otterbox Easy Grip Shell adds protection – and bulk – to your Xbox controller.

Our review: https://t.co/mhKWkA2PQx https://t.co/3oUNiG8spv",2021-04-12 06:00:14
ICYMI: Joss Whedon reportedly threatened Gal Gadot's career. https://t.co/wl5tu7gNwu https://t.co/rNiHzWlQN3,2021-04-12 03:31:01
"ICYMI: Sony Bend allegedly pitched a Days Gone sequel to Sony, but the idea was ultimately rejected. https://t.co/ysiQzZMzFn https://t.co/qlW3WKOqLv",2021-04-12 01:31:01
ICYMI: Batman v Superman was almost even darker. https://t.co/IlqAYl543E https://t.co/IomJ0EJQ0j,2021-04-12 00:31:00
"Check out the first teaser for WWE 2K22, featuring a glimpse of all new gameplay starring WWE superstars Rey Mysterio and Cesaro. https://t.co/6N9vtVh3aB https://t.co/gmExOOnp5B",2021-04-11 23:31:01
"ICYMI: 2021 might be a year for blockbusters to come home, but that trend won't continue in 2022. https://t.co/teV3rttLEw https://t.co/tGZN5rGJjH",2021-04-11 22:31:01
ICYMI: The Suicide Squad is back! Check out the latest trailer: https://t.co/5ec00fiGQX https://t.co/vJhnGuH40Z,2021-04-11 21:31:01
At what point is the use of old IP for cameos in movies TOO MUCH? The new Space Jam seems to be making us ask that very question. https://t.co/mktRfqtvIl https://t.co/Mwxn5Mi6Jz,2021-04-11 20:31:01
"Join us for our full breakdown of Episode 4 of The Falcon and The Winter Soldier including why John Walker's Captain America is JUST the worst, Easter Eggs, where we think the series is headed, and more! https://t.co/vYxxbF2b2x",2021-04-11 19:31:01
"During Wrestlemania 37, WWE 2K22 was revealed alongside a first look at gameplay featuring Rey Mysterio and Cesaro. https://t.co/6SRbP1fZRE https://t.co/fN2HZWyrT6",2021-04-11 18:31:01
Mass Effect Legendary Edition Changes - Original vs. Remastered Performance Preview https://t.co/XhdnGrhrAt https://t.co/3NNClaP01h,2021-04-11 16:00:09
"ICYMI: Paul Ritter – who appeared in Chernobyl, Quantum of Solace, Harry Potter and the Half-Blood Prince, and more – has died at the age of 54. https://t.co/1IQp0a782V https://t.co/8rwObzbj9k",2021-04-11 15:00:11
ICYMI: Nintendo and Xbox are reportedly in for E3 2021. https://t.co/H46xXGYRUq https://t.co/pg4UEaOw6d,2021-04-11 14:00:08
ICYMI: Should LeVar Burton be the next host of Jeopardy!? https://t.co/p1Z5OnDjY1 https://t.co/lYvri1qIiH,2021-04-11 13:00:13
"ICYMI: Space Jam: A New Legacy's first trailer has arrived, and it features cameos from a surprising amount of characters 🐰🏀 https://t.co/mToU2e0ZMZ https://t.co/e1CLGKVkea",2021-04-11 12:00:07
"ICYMI: The Walking Dead's eleventh and final season will officially premiere on Sunday, August 22. https://t.co/9m3gAstaW1 https://t.co/jnQpFMHDms",2021-04-11 11:00:06
"ICYMI: Watch the exclusive first trailer for Batman: The Long Halloween, Part One, the long-awaited animated adaptation of the classic DC comic. https://t.co/NGYefGsg7o https://t.co/ZsUq9JKdE4",2021-04-11 10:00:05
"ICYMI: Software engineer Michael Pick created the world's largest playable Switch, and promptly donated it to a children's hospital. https://t.co/pyPrUpE0mE https://t.co/hWT8FxBDxx",2021-04-11 09:00:14
"From the SNES controller to the Xbox Elite Series 2, we ranked the 10 best controllers to ever put the power of gaming in our hands. https://t.co/DkWR1ackiO https://t.co/5UrnZBuSqZ",2021-04-11 08:00:03
"ICYMI: Jimmy Fallon is coming to Twitch, playing Among Us with the cast of Stranger Things and other Twitch streamers this Tuesday. https://t.co/dGO2cwudvY https://t.co/etg2s48cO4",2021-04-11 07:00:14
"ICYMI: New Era launched a Dragon Ball Z streetwear collection, emblazoned with characters from Akira Toriyama's legendary franchise. https://t.co/mj7tA50kgT https://t.co/iAFAIuyZMp",2021-04-11 06:00:14
The trailer for Trigger Point shows a retired US special agent get drawn out of hiding to clear his name and prevent the killing of a new generation of operatives. https://t.co/ZEQQvfvaF5 https://t.co/0hu7fWmlCt,2021-04-11 05:01:01
ICYMI: Watch Melissa McCarthy throw a bus in this clip from Thunder Force: https://t.co/wunz5VNQXS https://t.co/pxWrk6vkuC,2021-04-11 04:01:01
ICYMI: Watch Maya Hawke and Andrew Garfield tackle the dark side of Internet fame in the trailer for Gia Coppola's Mainstream. https://t.co/B8Ld9Ex2lV https://t.co/nlj0mVZIi1,2021-04-11 03:31:00
ICYMI: Sony studios are reportedly working on a remake of The Last of Us. https://t.co/ysiQzZMzFn https://t.co/wPBwGGEX7V,2021-04-11 02:31:01
"ICYMI: Paramount Plus released a first look image of Star Trek: Prodigy, the upcoming animated series aimed at children featuring the return of Captain Kathryn Janeway. https://t.co/0GhnOLozYn https://t.co/shOEoSBisk",2021-04-11 01:31:01
The godfather of historical RTSes is back with a few new tricks to show us. Here's what we've learned about Age of Empires 4. https://t.co/oAm2vZ1NkW https://t.co/HSBJGpPAMa,2021-04-11 00:31:01
"Join Thierry Boulanger (Creative Director) and Sylvain Cloutier (Gameplay Programmer) and they watch and react to a ""linear"" speedrun of The Messenger by Grondious! https://t.co/yTlHEosGS1 https://t.co/DnV0es3F40",2021-04-10 23:31:01
ICYMI: Sony and Netflix will bring films to the platform after the theatrical release window. https://t.co/yexrN00RVS https://t.co/eJrDWJ85Ba,2021-04-10 22:31:01
"Not only is Outriders' crossplay once again fully functional across PlayStation, Xbox, and PC, Square Enix and People Can Fly have confirmed that a fix and restoration event for the inventory wipe bug is on the way. https://t.co/d7Lwhbj5MM https://t.co/NK5luacB7t",2021-04-10 22:01:01
Invincible's fifth episode layers social commentary on top of its familiar superhero tropes and gore to enhance its emotional highs and lows. Our review: https://t.co/YJIOdE4zmJ https://t.co/VHR9J7rEuI,2021-04-10 21:31:01
